Pl Code Longitude  Latitude     Altitude rho_cos   rho_sin_phi  region         name
 3 023    8.2625   +50.081187    211.801 0.64299   +0.76335     Germany        Wiesbaden
 3 024    8.7216   +49.398618    569.103 0.65211   +0.75570     Germany        Heidelberg-Konigstuhl
 3 025    9.19650  +48.782528    335.024 0.660205  +0.748637    Germany        Stuttgart
 3 026    7.46511  +46.877102    898.201 0.684884  +0.726402    Switzerland    Berne-Zimmerwald
 3 027    9.1912   +45.466337    144.519 0.70254   +0.70929     Italy          Milan
 3 028    9.9363   +49.791035    185.813 0.64686   +0.76009     Germany        Wurzburg
 3 029   10.2406   +53.479709     20.053 0.59640   +0.80000     Germany        Hamburg-Bergedorf
 3 030   11.25446  +43.750648    166.264 0.723534  +0.688012    Italy          Arcetri Observatory, Florence
 3 031   11.18985  +50.377394    627.921 0.639061  +0.766705    Germany        Sonneberg
 3 032   11.58295  +50.925259    151.114 0.631624  +0.772706    Germany        Jena
 3 033   11.71124  +50.980142    388.733 0.630904  +0.773338    Germany        Karl Schwarzschild Observatory, Tautenburg
 3 034   12.45246  +41.922451    102.548 0.745176  +0.664656    Italy          Monte Mario Observatory, Rome
 3 035   12.57592  +55.686868     10.378 0.565008  +0.822321    Denmark        Copenhagen
 3 036   12.65040  +41.747469    432.010 0.747247  +0.662420    Italy          Castel Gandolfo
 3 037   13.7333   +42.657470    427.798 0.73660   +0.67416     Italy          Collurania Observatory, Teramo
 3 038   13.7704   +45.643273     64.334 0.70033   +0.71144     Italy          Trieste
 3 039   13.1874   +55.697864     16.642 0.56485   +0.82243     Sweden         Lund
 3 040   13.7298   +51.031147    160.361 0.63019   +0.77387     Germany        Lohrmann Institute, Dresden
 3 041   11.38083  +47.268155    612.371 0.679862  +0.731012    Austria        Innsbruck
 3 042   13.06428  +52.379654     89.789 0.611721  +0.788439    Germany        Potsdam
 3 043   11.52643  +45.866447   1090.301 0.697656  +0.714269    Italy          Asiago Astrophysical Observatory, Padua
 3 044   14.2559   +40.862941    145.865 0.75738   +0.65082     Italy          Capodimonte Observatory, Naples
 3 045   16.3390   +48.231915    278.342 0.66739   +0.74227     Austria        Vienna (since 1879)
 3 046   14.2881   +48.863293   1061.815 0.65922   +0.74965     Czech Republi  Klet Observatory, Ceske Budejovice
 3 047   16.8782   +52.398536     89.404 0.61146   +0.78864     Poland         Poznan
 3 048   15.84080  +50.177332    270.684 0.641709  +0.764432    Czech Republi  Hradec Kralove
 3 049   17.6067   +59.500336      9.188 0.5088    +0.8580      Sweden         Uppsala-Kvistaberg
 3 050   18.0582   +59.342247     43.972 0.51118   +0.85660     Sweden         Stockholm (before 1931)
 3 051   18.4766   -33.933947     11.697 0.83055   -0.55508     South Africa   Royal Observatory, Cape of Good Hope
 3 052   18.3083   +59.271649     39.628 0.51224   +0.85597     Sweden         Stockholm-Saltsjobaden
 3 053   18.9642   +47.499604    492.032 0.67688   +0.73373     Hungary        Konkoly Observatory, Budapest (since 1933)
 3 054   11.6654   +55.621918     77.196 0.56595   +0.82169     Denmark        Brorfelde
 3 055   19.9596   +50.064521    183.069 0.64321   +0.76316     Poland         Cracow
 3 056   20.23418  +49.189565   1812.541 0.655001  +0.753470    Slovakia       Skalnate Pleso
 3 057   20.5133   +44.803652    286.690 0.71074   +0.70116     Serbia         Belgrade
 3 058   20.4950   +54.712819     25.539 0.57897   +0.81262     Russia         Kaliningrad
 3 059   20.2201   +49.195978   2629.080 0.65500   +0.75364     Slovakia       Lomnicky Stit
 3 060   21.4200   +52.090014    135.419 0.61572   +0.78535     Poland         Warsaw-Ostrowik
 3 061   22.29850  +48.633469    182.711 0.662142  +0.746904    Ukraine        Uzhhorod
 3 062   22.2293   +60.452429     -0.512 0.49440   +0.86632     Finland        Turku
 3 063   22.4450   +60.415790     42.113 0.49496   +0.86601     Finland        Turku-Tuorla
 3 064   22.7500   +60.420405     43.576 0.49489   +0.86605     Finland        Turku-Kevola
 3 065   12.6318   +47.862150    618.812 0.67222   +0.73800     Germany        Traunstein
 3 066   23.71817  +37.972271     93.569 0.789321  +0.611946    Greece         Athens
 3 067   24.0297   +49.832821    350.781 0.64632   +0.76058     Ukraine        Lviv University Observatory
 3 068   24.0142   +49.836492    340.051 0.64627   +0.76062     Ukraine        Lviv Polytechnic Institute
 3 069   24.4042   +56.773119     73.404 0.54925   +0.83287     Latvia         Baldone
 3 070   25.2865   +54.683110    100.911 0.57940   +0.81233     Lithuania      Vilnius (before 1939)
 3 071   24.73782  +41.693123   1740.173 0.74803   +0.66185     Bulgaria       NAO Rozhen, Smolyan
 3 072    7.17     +51.088915  -3965.065 0.629     +0.774       Germany        Scheuren Observatory
 3 073   26.09391  +44.411996    133.589 0.715515  +0.696285    Romania        Bucharest
 3 074   26.4058   -29.038138   1407.074 0.87518   -0.48263     South Africa   Boyden Observatory, Bloemfontein
 3 075   26.7216   +58.379715     65.646 0.52557   +0.84791     Estonia        Tartu
 3 076   27.8768   -25.772770   1232.957 0.90127   -0.43225     South Africa   Johannesburg-Hartbeespoort
 3 077   28.0292   -26.187261   1762.339 0.89819   -0.43876     South Africa   Yale-Columbia Station, Johannesburg
 3 078   28.0750   -26.181859   1823.363 0.89824   -0.43868     South Africa   Johannesburg
 3 079   28.2288   -25.787998   1552.165 0.90120   -0.43251     South Africa   Radcliffe Observatory, Pretoria
 3 080   28.9667   +41.012704     49.844 0.75566   +0.65278     Turkey         Istanbul
 3 081   27.8768   -25.772770   1232.957 0.90127   -0.43225     South Africa   Leiden Station, Johannesburg
 3 082   15.7561   +48.087978    569.092 0.66929   +0.74063     Austria        St. Polten
 3 083   30.5056   +50.365008    154.101 0.63918   +0.76651     Ukraine        Holosiivskyi district-Kyiv
 3 084   30.3274   +59.772118     85.607 0.50471   +0.86041     Russia         Pulkovo
 3 085   30.5023   +50.452956    174.404 0.63800   +0.76749     Ukraine        Kyiv
 3 086   30.7582   +46.476827     64.628 0.68987   +0.72152     Ukraine        Odesa
 3 087   31.3411   +29.858775    105.720 0.86799   +0.49495     Egypt          Helwan
 3 088   31.82769  +29.934013    494.061 0.867391  +0.496114    Egypt          Kottomia
 3 089   31.9747   +46.971605     50.870 0.68359   +0.72743     Ukraine        Mykolaiv
 3 090    8.25     +49.943154   1853.099 0.645     +0.762       Germany        Mainz
 3 091    4.20919  +45.381384    467.050 0.703630  +0.708287    France         Observatoire de Nurol, Aurec sur Loire
 3 092   18.5546   +53.096304     93.800 0.60177   +0.79601     Poland         Torun-Piwnice
 3 093   20.3647   +69.349331   -136.036 0.3537    +0.9322      Norway         Skibotn
 3 094   33.9974   +44.403089    369.338 0.71565   +0.69620     Ukraine        Crimea-Simeiz
 3 095   34.0160   +44.726558    592.420 0.71172   +0.70024     Ukraine        Crimea-Nauchnyi
 3 096    9.4283   +45.698835    362.184 0.69967   +0.71215     Italy          Merate
 3 097   34.7625   +30.595660    904.252 0.86165   +0.50608     Israel         Wise Observatory, Mitzpeh Ramon
 3 098   11.56900  +45.848591   1425.941 0.697916  +0.714090    Italy          Asiago Observatory, Cima Ekar
 3 099   25.53529  +61.130238    112.982 0.484073  +0.872114    Finland        Lahti
 3 100   24.14145  +62.617163    173.539 0.461165  +0.884370    Finland        Ahtari
 3 101   36.2322   +50.002702    120.706 0.64403   +0.76246     Ukraine        Kharkiv
 3 102   36.75953  +55.699517    184.510 0.564841  +0.822468    Russia         Zvenigorod
 3 103   14.52774  +46.043781    453.667 0.695365  +0.716346    Slovenia       Ljubljana
 3 104   10.80375  +44.064181   1017.461 0.719842  +0.692040    Italy          San Marcello Pistoiese
 3 105   37.5706   +55.755715    181.063 0.56403   +0.82302     Russia         Moscow
 3 106   14.0711   +45.945908    711.299 0.69662   +0.71519     Slovenia       Crni Vrh
 3 107   11.0030   +44.862896     -3.071 0.70998   +0.70186     Italy          Cavezzo
 3 108   11.0278   +43.738117     34.381 0.72367   +0.68784     Italy          Montelupo
 3 109    3.0705   +36.733068    143.991 0.80241   +0.59481     Algeria        Algiers-Kouba
 3 110   39.4150   +57.189178     85.484 0.54316   +0.83683     Russia         Rostov
 3 111   10.9721   +43.678850     92.617 0.72439   +0.68710     Italy          Piazzano Observatory, Florence
 3 112   10.9039   +45.483789    115.500 0.70232   +0.70950     Italy          Pleiade Observatory, Verona
 3 113   13.0166   +50.676689    514.971 0.63502   +0.77001     Germany        Volkssternwarte Drebach, Schoenbrunn
 3 114   41.4277   +43.655713   2047.154 0.72489   +0.68702     Russia         Engelhardt Observatory, Zelenchukskaya Station
 3 115   41.44067  +43.646713   2097.774 0.725004  +0.686912    Russia         Zelenchukskaya
 3 116   11.5958   +48.115221    507.416 0.66893   +0.74094     Germany        Giesing
 3 117   11.5385   +48.112747    582.784 0.66897   +0.74092     Germany        Sendling
 3 118   17.2740   +48.373144    552.140 0.66558   +0.74394     Slovakia       Astronomical and Geophysical Observatory, Modra
 3 119   42.8200   +41.753627   1581.216 0.74731   +0.66262     Georgia        Abastuman
 3 120   13.7261   +45.277637    233.860 0.70489   +0.70699     Croatia        Visnjan
 3 121   36.93403  +49.640838    165.265 0.648856  +0.758394    Ukraine        Kharkiv University, Chuguevskaya Station
 3 122    3.5035   +44.039542   1279.287 0.72017   +0.69176     France         Pises Observatory
 3 123   44.2917   +40.335211   1490.248 0.76352   +0.64398     Armenia        Byurakan
 3 124    2.2550   +43.600501    163.995 0.72534   +0.68612     France         Castres
 3 125   44.78950  +41.717322    410.872 0.747594  +0.662026    Georgia        Tbilisi
 3 126    9.79015  +44.132567    397.186 0.718943  +0.692828    Italy          Monte Viseggi L. Zannoni Observatory
 3 127    6.9797   +50.760191     85.429 0.63385   +0.77088     Germany        Bornheim
 3 128   46.00661  +51.538322     76.861 0.623279  +0.779393    Russia         Saratov
 3 129   45.92     +39.134625   2454.983 0.777     +0.628       Azerbaijan     Ordubad
 3 130   10.23963  +45.665020    876.729 0.700148  +0.711796    Italy          Lumezzane
 3 131    4.725    +44.677036    350.459 0.7123    +0.6996      France         Observatoire de l'Ardeche
 3 132    5.2461   +44.113303    515.659 0.71919   +0.69260     France         Bedoin
 3 133    5.0906   +43.361706     55.403 0.72819   +0.68309     France         Les Tardieux
 3 134   11.48245  +50.928437    414.528 0.631607  +0.772773    Germany        Groszschwabhausen
 3 135   49.1210   +55.789708     74.812 0.56353   +0.82334     Russia         Kasan
 3 136   48.8156   +55.839125    115.679 0.56282   +0.82383     Russia         Engelhardt Observatory, Kasan
 3 137   34.8147   +32.069775     53.507 0.84821   +0.52790     Israel         Givatayim Observatory
 3 138    7.5717   +47.604863    246.243 0.67550   +0.73494     France         Village-Neuf
 3 139    7.1108   +43.606163     58.431 0.72526   +0.68618     France         Antibes
 3 140    3.6294   +45.718290    569.343 0.69945   +0.71241     France         Augerolles
 3 141    7.3672   +49.067017    281.551 0.65646   +0.75189     France         Hottviller
 3 142    7.1874   +51.663869     49.824 0.62156   +0.78075     Germany        Sinsen
 3 143    9.02406  +46.231419    258.878 0.692986  +0.718590    Switzerland    Gnosca
 3 144    1.6660   +49.138729     39.745 0.65549   +0.75268     France         Bray et Lu
 3 145    4.5597   +51.240029     27.570 0.62734   +0.77614     Belgium        's-Gravenwezel
 3 146   10.6673   +44.288328   1281.741 0.71715   +0.69487     Italy          Frignano
 3 147    8.57391  +45.637244    291.382 0.700430  +0.711392    Italy          Osservatorio Astronomico di Suno
 3 148    2.0375   +43.644347    137.070 0.72481   +0.68667     France         Guitalens
 3 149    4.2236   +49.250078    133.950 0.65403   +0.75396     France         Beine-Nauroy
 3 150    2.1572   +48.943583     43.733 0.65806   +0.75045     France         Maisons Laffitte
 3 151    8.7440   +47.476030    558.718 0.67719   +0.73346     Switzerland    Eschenberg Observatory, Winterthur
 3 152   25.5633   +55.316042    205.539 0.57036   +0.81868     Lithuania      Moletai Astronomical Observatory
 3 153    9.1747   +48.738079    453.064 0.66080   +0.74814     Germany        Stuttgart-Hoffeld
 3 154   12.1043   +46.542158   1789.969 0.68923   +0.72250     Italy          Cortina
 3 155   10.1971   +56.127647     56.419 0.55864   +0.82664     Denmark        Ole Romer Observatory, Aarhus
 3 156   15.0858   +37.503415     55.339 0.79431   +0.60549     Italy          Catania Astrophysical Observatory
 3 157   12.8117   +42.227537    484.433 0.74166   +0.66864     Italy          Frasso Sabino
 3 158    7.6033   +45.785535   1479.324 0.69871   +0.71333     Italy          Promiod
 3 159   10.5153   +43.995223    777.373 0.72065   +0.69115     Italy          Monte Agliale
 3 160   10.84144  +43.823061     77.081 0.722651  +0.688913    Italy          Castelmartini
 3 161    8.1605   +45.087720    346.964 0.70725   +0.70467     Italy          Cerrina Tololo Observatory
 3 162   15.7805   +40.650008    815.135 0.75988   +0.64808     Italy          Potenza
 3 163    6.1492   +49.543169    333.391 0.65017   +0.75731     Luxembourg     Roeser Observatory, Luxembourg
 3 164    6.8861   +48.315558    358.631 0.66631   +0.74325     France         St. Michel sur Meurthe
 3 165    1.7553   +41.521506    249.915 0.74984   +0.65946     Spain          Piera Observatory, Barcelona
 3 166   16.0117   +50.506901    432.968 0.63730   +0.76812     Czech Republi  Upice
 3 167    8.5727   +47.520289    547.703 0.67662   +0.73398     Switzerland    Bulach Observatory
 3 168   59.5472   +57.036807    272.229 0.54541   +0.83541     Russia         Kourovskaya
 3 169    8.4016   +45.077171    255.076 0.70737   +0.70453     Italy          Airali Observatory
 3 170    1.9206   +41.331805   1475.405 0.75217   +0.65711     Spain          Observatorio de Begues
 3 171   14.4697   +35.909942    125.254 0.81089   +0.58327     Malta          Flarestar Observatory, San Gwann
 3 172    7.0364   +46.793619    754.195 0.68593   +0.72539     Switzerland    Onnens
 3 173   55.5061   -20.897572    152.160 0.93464   -0.35447     France (Reuni  St. Clotilde, Reunion
 3 174   25.5131   +62.346623    204.446 0.46536   +0.88219     Finland        Nyrola Observatory, Jyvaskyla
 3 175    7.6083   +46.230887   2170.299 0.6932    +0.7188      Switzerland    F.-X. Bagnoud Observatory, St-Luc
 3 176    2.8225   +39.653687    105.596 0.77098   +0.63475     Spain          Observatorio Astronomico de Consell
 3 177    3.9414   +43.646763     40.498 0.72477   +0.68669     France         Le Cres
 3 178    6.1344   +46.134629    505.835 0.69423   +0.71745     France         Collonges
 3 179    9.0175   +45.927927   1580.735 0.69694   +0.71507     Switzerland    Monte Generoso
 3 180    3.9519   +43.568393     26.579 0.72571   +0.68570     France         Mauguio
 3 181   55.4100   -21.199551    992.033 0.93288   -0.35941     France (Reuni  Observatoire des Makes, Saint-Louis
 3 182   55.2586   -21.012592    248.320 0.93394   -0.35634     France (Reuni  St. Paul, Reunion
 3 183   41.4200   +43.650034   2061.998 0.72496   +0.68695     Russia         Starlab Observatory, Karachay-Cherkessia
 3 184    6.0361   +43.981412    714.261 0.72081   +0.69097     France         Valmeca Observatory, Puimichel
 3 185    7.4219   +47.353048    478.669 0.67876   +0.73200     Switzerland    Observatoire Astronomique Jurassien-Vicques
 3 186   66.8821   +39.133773    651.201 0.77679   +0.62781     Uzbekistan     Kitab
 3 187   17.0733   +52.277129    123.134 0.61314   +0.78735     Poland         Astronomical Observatory, Borowiec
 3 188   66.89555  +38.673365   2578.325 0.782059  +0.621762    Uzbekistan     Majdanak
 3 189    6.1514   +46.199977    428.303 0.69340   +0.71823     Switzerland    Geneva (before 1967)
 3 190   68.6819   +38.490299    730.333 0.78382   +0.61909     Tajikistan     Gissar
 3 191   68.7811   +38.561092    791.624 0.78306   +0.62006     Tajikistan     Dushanbe
 3 192   69.2936   +41.325129    483.550 0.75213   +0.65692     Uzbekistan     Tashkent
 3 193   69.2178   +38.260781   2191.556 0.78648   +0.61610     Tajikistan     Sanglok
 3 194   18.0094   -23.461596   1778.323 0.91807   -0.39579     Namibia        Tivoli
 3 195   11.4492   +48.183860    520.893 0.66804   +0.74174     Germany        Untermenzing Observatory, Munich
 3 196    7.3331   +49.331752    227.550 0.65296   +0.75490     Germany        Homburg-Erbach
 3 197   12.1836   +44.256931     18.025 0.71739   +0.69434     Italy          Bastia
 3 198    8.75674  +48.631946    501.852 0.662195  +0.746924    Germany        Wildberg
 3 199    2.4380   +48.291739     70.213 0.66659   +0.74294     France         Telescope Jean-Marc Salomon, Buthiers
 3 200    4.3036   +50.760191     85.429 0.63385   +0.77088     Belgium        Beersel Hills Observatory
 3 201    7.6033   +45.785135   1433.610 0.69871   +0.71332     Italy          Jonathan B. Postel Observatory
 3 202    5.8997   +43.095279     68.434 0.73137   +0.67971     France         Tamaris Observatoire, La Seyne sur Mer
 3 203    8.99548  +45.541445    213.425 0.701614  +0.710215    Italy          GiaGa Observatory
 3 204    8.76972  +45.868295   1228.727 0.697648  +0.714307    Italy          Schiaparelli Observatory
 3 205   11.2731   +44.472064    113.686 0.71478   +0.69703     Italy          Obs. Casalecchio di Reno, Bologna
 3 206   10.5667   +60.600925    758.276 0.4922    +0.8677      Norway         Haagaar Observatory, Eina
 3 207    9.3065   +45.545063    131.545 0.70156   +0.71025     Italy          Osservatorio Antonio Grosso
 3 208    9.5875   +44.949339    116.489 0.70893   +0.70294     Italy          Rivalta
 3 209   11.56883  +45.849484   1418.392 0.697904  +0.714100    Italy          Asiago Observatory, Cima Ekar-ADAS
 3 210   76.9573   +43.188278   1447.907 0.73042   +0.68104     Kazakhstan     Alma-Ata
 3 211   11.1764   +43.762483     65.543 0.72338   +0.68815     Italy          Scandicci
 3 212  355.35747  +36.653332    255.472 0.803253  +0.593708    Spain          Observatorio La Dehesilla
 3 213    2.38539  +41.519715     99.350 0.749843  +0.659421    Spain          Observatorio Montcabre
 3 214   11.6569   +48.256592    479.063 0.66709   +0.74258     Germany        Garching Observatory
 3 215   10.7328   +48.017293    601.552 0.67021   +0.73981     Germany        Buchloe
 3 216    5.6914   +49.001576    265.577 0.65732   +0.75114     France         Observatoire des Cote de Meuse
 3 217   77.87114  +43.225527   2658.450 0.730114  +0.681643    Kazakhstan     Assah
 3 218   78.4541   +17.431847    530.207 0.95444   +0.29768     India          Hyderabad
 3 219   78.7283   +17.098328    678.825 0.95618   +0.29216     India          Japal-Rangapur
 3 220   78.8263   +12.576280    706.361 0.97627   +0.21634     India          Vainu Bappu Observatory, Kavalur
 3 221   16.36170  -23.236369   1851.855 0.919631  -0.392203    Namibia        IAS Observatory, Hakos
 3 222    2.4939   +48.709856     67.997 0.66113   +0.74777     France         Yerres-Canotiers
 3 223   80.2464   +13.068995     31.205 0.97427   +0.22465     India          Madras
 3 224    7.50171  +47.784762    221.518 0.673178  +0.737048    France         Ottmarsheim
 3 225  288.8250   +43.227708    137.660 0.7298    +0.6814      US/New Hampsh  Northwood Ridge Observatory
 3 226   11.8858   +45.433882     25.977 0.70293   +0.70888     Italy          Guido Ruggieri Observatory, Padua
 3 227  281.2853   +42.638389    469.728 0.73683   +0.67392     US/New York    OrbitJet Observatory, Colden
 3 228   13.8750   +45.642425    424.101 0.70038   +0.71147     Italy          Bruno Zugna Observatory, Trieste
 3 229   14.9743   +40.690815    336.337 0.75936   +0.64857     Italy          G. C. Gloriosi Astronomical Observatory, Salerno
 3 230   12.0133   +47.704038   1931.411 0.6744    +0.7363      Germany        Mt. Wendelstein Observatory
 3 231    5.3983   +50.005282    462.741 0.64403   +0.76253     Belgium        Vesqueville
 3 232    1.3317   +41.508536    337.643 0.7500    +0.6593      Spain          Masquefa Observatory
 3 233   10.5403   +43.855044     32.130 0.72226   +0.68931     Italy          Sauro Donati Astronomical Observatory, San Vito
 3 234    1.12833  +52.145254     48.480 0.614951  +0.785931    UK/England     Coddenham Observatory
 3 235   13.11352  +45.936027     25.686 0.696669  +0.714993    Italy          CAST Observatory, Talmassons
 3 236   84.9465   +56.468260    136.940 0.55370   +0.82995     Russia         Tomsk
 3 237    2.7333   +47.083528    401.129 0.6822    +0.7288      France         Baugy
 3 238   10.9094   +59.949148    139.680 0.50204   +0.86197     Norway         Grorudalen Optical Observatory
 3 239    8.4114   +49.925391     98.118 0.64506   +0.76159     Germany        Trebur
 3 240    8.83317  +48.623595    537.872 0.662308  +0.746832    Germany        Herrenberg Sternwarte
 3 241   13.4700   +48.443494    430.733 0.66465   +0.74474     Austria        Schaerding
 3 242    1.6956   +43.479120    282.196 0.72681   +0.68460     France         Varennes
 3 243    9.4130   +53.528078      4.148 0.59572   +0.80050     Germany        Umbrella Observatory, Fredenbeck
 3 244    0.00000   +0.000000      0.000 0.000000  +0.000000                   Geocentric Occultation Observation
-2 245    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Spitzer Space Telescope
 3 246   14.28476  +48.863994   1112.283 0.659216  +0.749664    Czech Republi  Klet Observatory-KLENOT
-2 247    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Roving Observer
 3 248    0.00000   +0.000000      0.000 0.000000  +0.000000                   Hipparcos
-2 249    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  SOHO
-2 250    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Hubble Space Telescope
 3 251  293.24692  +18.343444    504.271 0.949577  +0.312734    US/Puerto Ric  Arecibo
 3 252  243.20512  +35.247200   1072.243 0.817719  +0.573979    US/California  Goldstone DSS 13, Fort Irwin
 3 253  243.11047  +35.425917   1012.269 0.815913  +0.576510    US/California  Goldstone DSS 14, Fort Irwin
 3 254  288.51128  +42.623198    155.872 0.736973  +0.673692    US/Massachuse  Haystack, Westford
 3 255   33.18689  +45.189218     63.033 0.705965  +0.705886    Ukraine        Yevpatoriya
 3 256  280.16017  +38.433112    826.992 0.784451  +0.618320    US/West Virgi  Green Bank
 3 257  243.12461  +35.337575    958.130 0.816796  +0.575252    US/California  Goldstone DSS 25, Fort Irwin
-2 258    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Gaia
 3 259   19.22586  +69.586488     90.019 0.349828  +0.933688    Norway         EISCAT Tromso UHF
 3 260  149.0661   -31.276809   1185.198 0.85560   -0.51626     Australia/NSW  Siding Spring Observatory-DSS
 3 261  243.14022  +33.357340   1686.997 0.836325  +0.546877    US/California  Palomar Mountain-DSS
 3 262  289.26626  -29.258822   2345.440 0.873440  -0.486052    Chile          European Southern Observatory, La Silla-DSS
 3 266  204.52396  +19.825501   4194.602 0.941711  +0.337239    US/Hawaii      New Horizons KBO Search-Subaru
 3 267  204.53109  +19.825438   4232.766 0.941717  +0.337240    US/Hawaii      New Horizons KBO Search-CFHT
 3 268  289.30803  -29.014271   2389.673 0.875516  -0.482342    Chile          Magellan-Clay Telescope
 3 269  289.30914  -29.014791   2377.862 0.875510  -0.482349    Chile          Magellan-Baade Telescope
-2 270    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Unistellar Network, Roving Observer
-2 273    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Euclid
-2 274    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  James Webb Space Telescope
-2 275    0.000000  +0.000000      0.000 0.0000000 +0.0000000                  Non-geocentric Occultation Observation
 3 276   20.38279  +52.627454    132.677 0.608295  +0.791076    Poland         Plonsk
 3 277  356.8175   +55.924922    115.095 0.56158   +0.82467     UK/Scotland    Royal Observatory, Blackford Hill, Edinburgh
 3 278  116.4494   +39.904051     10.977 0.76818   +0.63809     China          Peking, Transit of Venus site
 3 279   10.72822  +50.933993    356.325 0.631526  +0.772827    Germany        Seeberg Observatory, Gotha (1787-1857)
 3 280    8.9118   +53.140662    -22.008 0.60114   +0.79646     Germany        Lilienthal
 3 281   11.3522   +44.496414     89.328 0.71448   +0.69733     Italy          Bologna
 3 282    4.3603   +43.839623     66.606 0.72245   +0.68912     France         Nimes
 3 283    8.8163   +53.076358      6.202 0.60204   +0.79579     Germany        Bremen
 3 284   15.8311   +52.838165     35.140 0.60536   +0.79329     Poland         Driesen
 3 285    2.3708   +48.693563    131.551 0.66135   +0.74759     France         Flammarion Observatory, Juvisy
 3 286  102.7883   +25.025449   1948.274 0.90694   +0.42057     China          Yunnan Observatory
 3 290  250.10799  +32.701295   3191.620 0.842743  +0.537438    US/Arizona     Mt. Graham-VATT
 3 291  248.40024  +31.961598   2037.677 0.849471  +0.526470    US/Arizona     LPL/Spacewatch II
 3 292  285.1058   +40.072036      5.048 0.76630   +0.64033     US/New Jersey  Burlington, New Jersey
 3 293  285.5899   +39.798433     26.128 0.76936   +0.63668     US/New Jersey  Burlington remote site
 3 294  285.8467   +40.603851     31.100 0.76031   +0.64739     US/New York    Astrophysical Obs., College of Staten Island
 3 295  283.0000   +38.936501    218.851 0.7789    +0.6251      US/Dist. of C  Catholic University Observatory, Washington
 3 296  286.2200   +42.653670     38.839 0.73660   +0.67407     US/New York    Dudley Observatory, Albany (after 1893)
 3 297  286.819    +44.015373   -163.642 0.7203    +0.6913      US/Vermont     Middlebury
 3 298  287.3408   +41.555172     68.909 0.74943   +0.65988     US/Connecticu  Van Vleck Observatory
 3 299  107.6160    -6.825509   1287.049 0.99316   -0.11808     Indonesia      Bosscha Observatory, Lembang
 3 300  133.54444  +34.671960    427.526 0.823370  +0.565720    Japan          Bisei Spaceguard Center-BATTeRS
 3 301  288.8467   +45.454905   1126.540 0.70279   +0.70926     Canada/Quebec  Mont Megantic
 3 302  288.88      +8.672755   8768.476 0.990     +0.150       Venezuela      University of the Andes station
 3 303  289.1296    +8.787722   3624.775 0.98890   +0.15185     Venezuela      OAN de Llano del Hato, Merida
 3 304  289.30858  -29.014556   2385.314 0.875513  -0.482346    Chile          Las Campanas Observatory
 3 305  109.5514   +34.945455    471.527 0.82066   +0.56963     China          Purple Mountain, Hainan Island station
 3 306  290.6769   +10.075583    591.394 0.98477   +0.17381     Venezuela      Observatorio Taya Beixo, Barquisimeto
 3 307  287.7166   +43.704047    209.115 0.72410   +0.68743     US/New Hampsh  Shattuck Observatory, Hanover
 3 309  289.59569  -24.627212   2637.192 0.909943  -0.414336    Chile          Cerro Paranal
